Integra, Acura, 01 00 99 98 97 96 95 94 93 92 91 90 89
NSX, Acura, 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91
RDX, Acura, 09 08 07
Vigor, Acura, 94 93 92
SLX, Acura, 99 98 97 96
CL, Acura, 03 02 01 99 98 97
Legend, Acura, 95 94 93 92 91 90 89
RSX, Acura, 06 05 04 03 02
TSX, Acura, 09 08 07 06 05 04
RL, Acura, 08 07 06 05 04 03 02 01 00 99 98 97 96
MDX, Acura, 09 08 07 06 05 04 03 02 01
TL, Acura, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95
164, Alfa Romeo, 95 94 93 92 91
Spider, Alfa Romeo, 94 93 92 91 90 89
Milano, Alfa Romeo,89
200, Audi, 91 90 89
S6, Audi, 08 07 03 02 95
Cabriolet, Audi, 98 97 96 95 94
S8, Audi, 08 07 03 02 01
RS6, Audi,3
90, Audi, 95 94 93 91 90 89
Q7, Audi, 09 08 07
80, Audi, 92 91 90 89
S5, Audi,8
RS 4, Audi, 08 07
R8, Audi,8
A5, Audi,8
Quattro, Audi, 94 93 92 91 90
100, Audi, 94 93 92 91 90 89
A6, Audi, 08 07 06 05 04 03 02 01 00 99 98 97 96 95
A8, Audi, 08 07 06 05 04 03 02 01 00 99 98 97
allroad, Audi, 05 04 03 02 01
S4, Audi, 08 07 06 05 04 02 01 00 94 93 92
TT, Audi, 08 06 05 04 03 02 01 00
A3, Audi, 08 07 06
A4, Audi, 08 07 06 05 04 03 02 01 00 99 98 97 96
Z3, BMW, 02 01 00 99 98 97 96
Z4, BMW, 08 07 06 05 04 03
6 Series, BMW, 09 08 07 06 05 04 89
5 Series, BMW, 09 08 07 06 05 04 03 02 01 00 99 98 97 95 94 93 92 91 90 89
X5, BMW, 09 08 07 06 05 04 03 02 01 00
M, BMW, 02 01 00
8 Series, BMW, 97 96 95 94 93 92 91
X3, BMW, 08 07 06 05 04
7 Series, BMW, 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Z8, BMW, 03 02 01 00
M3, BMW, 08 06 05 04 03 02 01 99 98 97 96 95 91 90 89
X6, BMW,8
Z4 M Series, BMW, 08 07 06
Alpina B7, BMW, 08 07
1 Series, BMW,8
3 Series, BMW, 09 08 07 06 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
M6, BMW, 08 07 06
M5, BMW, 08 07 06 03 02 01 00 93 92 91
Rendezvous, Buick, 07 06 05 04 03 02
Terraza, Buick, 07 06 05
Enclave, Buick, 09 08
Rainier, Buick, 07 06 05 04
Roadmaster, Buick, 96 95 94 93 92 91
Lucerne, Buick, 09 08 07 06
LaCrosse, Buick, 09 08 07 06 05
Regal, Buick, 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Reatta, Buick, 91 90 89
Skyhawk, Buick,89
Riviera, Buick, 99 98 97 96 95 93 92 91 90 89
Electra, Buick, 90 89
Estate, Buick,90
LeSabre, Buick, 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Park Avenue, Buick, 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91
Skylark, Buick, 98 97 96 95 94 93 92 91 90 89
Century, Buick, 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Sixty Special, Cadillac,93
Allante', Cadillac, 93 92 91 90 89
Brougham, Cadillac, 92 91 90 89
Escalade ESV, Cadillac, 09 08 07 06 05 04 03
STS-V, Cadillac, 09 08 07 06
XLR-V, Cadillac, 09 08 07 06
CTS, Cadillac, 09 08 07 06 05 04 03
SRX, Cadillac, 09 08 07 06 05 04
DeVille, Cadillac, 05 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Escalade EXT, Cadillac, 09 08 07 06 05 04 03 02
Catera, Cadillac, 01 00 99 98 97
Seville, Cadillac, 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
STS, Cadillac, 09 08 07 06 05
DTS, Cadillac, 09 08 07 06
Eldorado, Cadillac, 02 01 00 99 98 97 96 95 94 93 92 91 90 89
XLR, Cadillac, 09 08 07 06 05 04
Escalade, Cadillac, 09 08 07 06 05 04 03 02 00 99
CTS-V, Cadillac, 09 07 06 05 04
Fleetwood, Cadillac, 96 95 94 93 92 91 90 89
Lumina, Chevrolet, 01 00 99 98 97 96 95 94 93 92 91 90
Prizm, Chevrolet, 02 01 00 99 98
Malibu (Classic), Chevrolet,8
Traverse, Chevrolet,9
Metro, Chevrolet, 01 00 99 98
Aveo 5, Chevrolet, 09 08 07
S10 Blazer, Chevrolet, 94 93 92 91 90 89
G-Series Van, Chevrolet, 98 97 96 95 94 93 92 91 90 89
Tracker, Chevrolet, 04 03 02 01 00 99 98
S10 Pickup, Chevrolet, 04 03 02 01 00 99 98 97 96 95 94 93 92 91 90 89
Corsica, Chevrolet, 96 95 94 93 92 91 90 89
Caprice Classic, Chevrolet, 96 95 94 93
Sportvan, Chevrolet, 96 95 94 93 92 91 90 89
Lumina Minivan, Chevrolet, 96 95 94
3500 Pickup, Chevrolet, 00 99 98 97 96 95 94 93 92 91 90 89
Beretta, Chevrolet, 96 95 94 93 92 91 90 89
Caprice, Chevrolet, 92 91 90 89
Celebrity, Chevrolet, 90 89
Camaro, Chevrolet, 02 01 00 99 98 97 96 95 94 93 92 91 90 89
1500 Pickup, Chevrolet, 99 98 97 96 95 94 93 92 91 90 89
2500 Pickup, Chevrolet, 00 99 98 97 96 95 94 93 92 91 90 89
Lumina APV, Chevrolet, 93 92 91 90
APV, Chevrolet, 93 92 91 90
Colorado, Chevrolet, 09 08 07 06 05 04
Avalanche, Chevrolet, 09 08 07 06 05 04 03 02
Classic, Chevrolet, 05 04
Express Van, Chevrolet, 09 08 07 06 05 04 03 02 01 00 99 98 97 96
